symbol,date,open,high,low,close,volume
aapl,2023-03-08 09:30:00-05:00,152.80999755859375,153.02000427246094,152.52000427246094,152.99000549316406,1613931.0
aapl,2023-03-08 09:31:00-05:00,152.97999572753906,153.10000610351562,152.7899932861328,152.88999938964844,293385.0
aapl,2023-03-08 09:32:00-05:00,152.92999267578125,153.03599548339844,152.75999450683594,152.88999938964844,268772.0
aapl,2023-03-08 09:33:00-05:00,152.88499450683594,152.88499450683594,152.64999389648438,152.77000427246094,278007.0
aapl,2023-03-08 09:34:00-05:00,152.75999450683594,152.99000549316406,152.7100067138672,152.7100067138672,270371.0
aapl,2023-03-08 09:35:00-05:00,152.72000122070312,152.91009521484375,152.66000366210938,152.7050018310547,202878.0
aapl,2023-03-08 09:36:00-05:00,152.7100067138672,152.88499450683594,152.6199951171875,152.8699951171875,212865.0
aapl,2023-03-08 09:37:00-05:00,152.86000061035156,153.02999877929688,152.74000549316406,152.97999572753906,389075.0
aapl,2023-03-08 09:38:00-05:00,152.98809814453125,153.0500030517578,152.82000732421875,152.9333953857422,240657.0
aapl,2023-03-08 09:39:00-05:00,152.92999267578125,153.07000732421875,152.92999267578125,152.98500061035156,249298.0
aapl,2023-03-08 09:40:00-05:00,152.97999572753906,153.02000427246094,152.63999938964844,152.83999633789062,274109.0
aapl,2023-03-08 09:41:00-05:00,152.84010314941406,152.97000122070312,152.75999450683594,152.8249969482422,219210.0
aapl,2023-03-08 09:42:00-05:00,152.82000732421875,152.82000732421875,152.6800994873047,152.73550415039062,131192.0
aapl,2023-03-08 09:43:00-05:00,152.74000549316406,152.76950073242188,152.57839965820312,152.610107421875,269663.0
aapl,2023-03-08 09:44:00-05:00,152.6132049560547,152.72030639648438,152.3350067138672,152.36459350585938,270695.0
aapl,2023-03-08 09:45:00-05:00,152.3699951171875,152.62879943847656,152.3000030517578,152.6199951171875,186177.0
aapl,2023-03-08 09:46:00-05:00,152.6157989501953,152.77499389648438,152.5,152.55130004882812,181657.0
aapl,2023-03-08 09:47:00-05:00,152.55999755859375,152.60499572753906,152.3800048828125,152.41290283203125,152208.0
aapl,2023-03-08 09:48:00-05:00,152.41000366210938,152.63540649414062,152.41000366210938,152.49000549316406,137840.0
aapl,2023-03-08 09:49:00-05:00,152.50999450683594,152.5800018310547,152.41000366210938,152.4499969482422,107114.0
aapl,2023-03-08 09:50:00-05:00,152.44000244140625,152.64999389648438,152.4199981689453,152.58990478515625,104055.0
aapl,2023-03-08 09:51:00-05:00,152.60000610351562,152.66000366210938,152.5500030517578,152.63999938964844,133879.0
aapl,2023-03-08 09:52:00-05:00,152.6300048828125,152.67999267578125,152.33999633789062,152.40989685058594,157870.0
aapl,2023-03-08 09:53:00-05:00,152.40809631347656,152.5,152.3614044189453,152.46800231933594,100880.0
